title,clubName,location,date,lateRegTime,buyIn,guarantee,startingStack,blindDuration,clubLogo,durationDays,isFeatured,hasOverlayWarning,createdAt,updatedAt,id,_createTime,_updateTime,clockUrl,customBgColor,isHot,promotionLevel,pinnedDays,hasLivestream,promoInfo
RPT RELAX EVENT (25% ITM),Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-15T14:30:00.000Z,2026-06-15T14:30:00.000Z,"1,800,000",15M,"40,000",20/15,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:10.635Z,2026-05-15T08:26:10.635Z,04gco7nxb,2026-05-15T08:26:10.649325Z,2026-05-15T08:26:10.649325Z,,,,,,,
RPT TIGER CUP - DAY 1C - 12.5% ITM,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-09T03:30:00.000Z,2026-06-09T03:30:00.000Z,"22,000,000",5B,"40,000",35/30,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:03.525Z,2026-05-15T08:26:03.525Z,052z1sdk6,2026-05-15T08:26:03.535980Z,2026-05-15T08:26:03.535980Z,,,,,,,
SUPER DEEPSTACK,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-08T04:30:00.000Z,2026-06-08T11:30:00.000Z,"11,000,000",1B,"50,000",35/30,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:25:35.803Z,2026-05-15T08:25:35.803Z,06numl1ex,2026-05-15T08:25:35.813050Z,2026-05-15T08:25:35.813050Z,,,,,,,
RPT RELAX EVENT (25% ITM),Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-09T14:30:00.000Z,2026-06-09T14:30:00.000Z,"1,800,000",15M,"40,000",20/15,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:04.318Z,2026-05-15T08:26:04.318Z,06w2p3ydc,2026-05-15T08:26:04.328939Z,2026-05-15T08:26:04.328939Z,,,,,,,
R - MINI DEEPSTACK 2M3 (25% ITM) (8-MAX),Royal Poker Club,"195 Kham Thien, Dong Da, Ha Noi ",2026-05-26T10:30:00.000Z,2026-05-26T14:35:00.000Z,2.3M,30E,50K,25'-20',https://i.ibb.co/VWmWSTbm/e60e4bbd45f7.jpg,1,False,False,2026-05-24T16:59:57.816Z,2026-05-24T16:59:57.816Z,08iy2uhtl,2026-05-24T16:59:57.826692Z,2026-05-24T16:59:57.826692Z,,,,,,,
RPT RELAX EVENT (25% ITM),Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-16T14:30:00.000Z,2026-06-16T14:30:00.000Z,"1,800,000",15M,"40,000",20/15,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:11.492Z,2026-05-15T08:26:11.492Z,0dwk9zh6n,2026-05-15T08:26:11.505791Z,2026-05-15T08:26:11.505791Z,,,,,,,
#55 MINI HIGH ROLLER,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-27T11:00:00.000Z,2026-05-27T14:40:00.000Z,20M + 2M,-,100K,25',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:37.041Z,2026-05-17T18:06:37.041Z,0fhxm7e3a,2026-05-17T18:06:37.050142Z,2026-05-17T18:06:37.050142Z,,,,,,,
SATELLITE FOR CTP MULTIDAY,Center Point Poker Club,"5th Floor - Center Point Shopping Mall, 27 Le Van Luong Street, Thanh Xuan Ward, Hanoi",2026-05-26T03:00:00.000Z,2026-05-26T04:30:00.000Z,360K,4 TICKETS,8K,12',https://i.ibb.co/8LDHhLKj/0a0c4a187065.jpg,1,False,False,2026-05-24T16:58:57.361Z,2026-05-24T16:58:57.361Z,0hyk8729b,2026-05-24T16:58:57.369150Z,2026-05-24T16:58:57.369150Z,,,,,,,
SATELLITE TO RPT TIGER CUP - 1 IN 10,Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-08T03:00:00.000Z,2026-06-08T04:34:00.000Z,"2,500,000",2 SEATS,"8,000",12/10,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:25:35.388Z,2026-05-15T08:25:35.388Z,0k8u37itk,2026-05-15T08:25:35.398223Z,2026-05-15T08:25:35.398223Z,,,,,,,
Trò chơi DEEPSTACK 2,Saigon Poker Room,"280 Nam Ky Khoi Nghia Street, Xuan Hoa Ward, Ho Chi Minh City",2026-05-27T03:30:00.000Z,2026-05-27T08:00:00.000Z,2.8M,200M,25K,25',https://i.ibb.co/1YLLwDm1/91b1274f7673.jpg,1,False,False,2026-05-24T17:00:18.348Z,2026-05-27T04:35:31.267Z,0l4aw91l0,2026-05-24T17:00:18.366447Z,2026-05-27T04:35:31.302982Z,https://www.facebook.com/61585970653369/videos/1788279428820743,,,,,,
CENTER-P MULTIDAY DAY 1B,Center Point Poker Club,"5th Floor - Center Point Shopping Mall, 27 Le Van Luong Street, Thanh Xuan Ward, Hanoi",2026-05-26T03:30:00.000Z,2026-05-26T10:00:00.000Z,2.3M,500e,30K,30'-27',https://i.ibb.co/8LDHhLKj/0a0c4a187065.jpg,1,False,False,2026-05-24T16:58:57.451Z,2026-05-26T04:36:33.326Z,0ozpg5o7s,2026-05-24T16:58:57.461208Z,2026-05-26T04:36:33.356833Z,https://web.facebook.com/xam.ph.wa.wira.sakdi.xrun/videos/2450706372021138,,,,,,
HEAVEN ATHENA,Heaven Poker Club,"7th Floor, IP3 Building, Imperial Plaza 360 Giai Phong Street, Phuong Liet Ward, Hanoi",2026-05-28T03:30:00.000Z,2026-05-28T08:30:00.000Z,720k,120 (Entries),50K,30'-22',https://i.ibb.co/pj7Mnrxk/9c8aa56e97cd.jpg,1,False,False,2026-05-24T16:59:18.833Z,2026-05-28T04:53:22.589Z,0pqjf9msk,2026-05-24T16:59:18.842566Z,2026-05-28T04:53:22.633396Z,https://www.facebook.com/HeavenPokerClub/videos/978038498190423,,,,,,
RPT HAPPY NIGHT (25% ITM),Royal Poker Tour 3,"195 Khâm Thiên, Đống Đa, Hà Nội",2026-06-14T16:30:00.000Z,2026-06-14T16:30:00.000Z,"2,300,000",12M,"40,000",15/10,https://i.ibb.co/2GK7bMT/549690987-122228889626254313-6971684959001424711-n-jpg-nc-cat-108-ccb-1-7-nc-sid-1d70fc-nc-eui2-A.jpg,1,False,False,2026-05-15T08:26:09.878Z,2026-05-15T08:26:09.878Z,0r4io1r7e,2026-05-15T08:26:09.906717Z,2026-05-15T08:26:09.906717Z,,,,,,,
Trò chơi DEEPSTACK 2,Saigon Poker Room,"280 Nam Ky Khoi Nghia Street, Xuan Hoa Ward, Ho Chi Minh City",2026-05-30T04:00:00.000Z,2026-05-30T08:30:00.000Z,2.8M,200M,25K,25',https://i.ibb.co/1YLLwDm1/91b1274f7673.jpg,1,False,False,2026-05-24T17:00:20.512Z,2026-05-24T17:00:20.512Z,0s38kwpg3,2026-05-24T17:00:20.521795Z,2026-05-24T17:00:20.521795Z,,,,,,,
HEAVEN THUNDERBOLT VELOCITY,Heaven Poker Club,"7th Floor, IP3 Building, Imperial Plaza 360 Giai Phong Street, Phuong Liet Ward, Hanoi",2026-05-29T12:00:00.000Z,2026-05-29T15:20:00.000Z,360k,100 (Entries),15K,18'-15',https://i.ibb.co/pj7Mnrxk/9c8aa56e97cd.jpg,1,False,False,2026-05-24T16:59:19.483Z,2026-05-24T16:59:19.483Z,10dp1szfl,2026-05-24T16:59:19.491127Z,2026-05-24T16:59:19.491127Z,,,,,,,
Trò chơi MINI MAIN EVENT DAY 1D (Turbo),Saigon Poker Room,"280 Nam Ky Khoi Nghia Street, Xuan Hoa Ward, Ho Chi Minh City",2026-05-30T09:00:00.000Z,2026-05-30T13:30:00.000Z,6.6M,2B,30K,25',https://i.ibb.co/1YLLwDm1/91b1274f7673.jpg,1,False,False,2026-05-24T17:00:20.600Z,2026-05-24T17:00:20.600Z,10tsuhc7o,2026-05-24T17:00:20.609567Z,2026-05-24T17:00:20.609567Z,,,,,,,
Deepstack Turbo,Quads Poker Club,"Tầng 2 - R6,  Royal City, 72A Nguyễn Trãi, Thanh Xuân, Hanoi ",2026-05-26T08:00:00.000Z,2026-05-26T12:45:00.000Z,960K,100E,30K,25'/20',https://i.ibb.co/dJVDqZSD/7187759d4e2b.jpg,1,False,False,2026-05-24T16:59:39.249Z,2026-05-24T16:59:39.249Z,14df72od3,2026-05-24T16:59:39.258970Z,2026-05-24T16:59:39.258970Z,,,,,,,
#47 MIDWEEK DEEPSTACK SPECIAL,USOP Halong 2026,"InterContinental Halong,  Marina Urban Area, Bãi Cháy, Quảng Ninh",2026-05-26T08:00:00.000Z,2026-05-26T11:00:00.000Z,6.05M + 950K,-,20K,20',https://userieschampionship.com/wp-content/uploads/2024/04/Usop_Logo.png,1,False,False,2026-05-17T18:06:36.157Z,2026-05-17T18:06:36.157Z,14w2sxzbl,2026-05-17T18:06:36.167047Z,2026-05-17T18:06:36.167047Z,,,,,,,
CENTER - P FAST AND FURIOUS,Center Point Poker Club,"5th Floor - Center Point Shopping Mall, 27 Le Van Luong Street, Thanh Xuan Ward, Hanoi",2026-05-28T11:30:00.000Z,2026-05-28T14:50:00.000Z,720K,100e,18K,18'-15',https://i.ibb.co/8LDHhLKj/0a0c4a187065.jpg,1,False,False,2026-05-24T16:58:59.432Z,2026-05-24T16:58:59.432Z,15m1m2ctr,2026-05-24T16:58:59.443135Z,2026-05-24T16:58:59.443135Z,,,,,,,
